zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
95128,60,36975,2022-05-22,2022-06-11,409.0,5556.0,488.0,8.5,715.5,8.8
95128,35,36975,2020-12-13,2021-01-02,79.0,6491.0,92.0,8.5,836.0,11.5
95128,33,36975,2020-11-01,2020-11-21,128.0,4843.0,138.0,16.5,623.7,2.8
95128,64,36975,2022-08-14,2022-09-03,132.0,2138.0,146.0,17.0,275.3,6.8
95128,25,36975,2020-05-17,2020-06-06,12.0,978.0,12.0,1.5,126.0,1.2
95128,45,36975,2021-07-11,2021-07-31,115.0,3507.0,141.0,14.8,451.7,4.0
95128,29,36975,2020-08-09,2020-08-29,69.0,2844.0,89.0,8.9,366.3,3.1
95128,49,36975,2021-10-03,2021-10-23,63.0,4858.0,68.0,8.1,625.6,1.4
95128,57,36975,2022-03-20,2022-04-09,69.0,4648.0,86.0,8.9,598.6,1.9
95128,47,36975,2021-08-22,2021-09-11,146.0,5910.0,175.0,18.8,761.1,3.0
95128,56,36975,2022-02-27,2022-03-19,67.0,6561.0,85.0,8.6,845.0,1.3
95128,41,36975,2021-04-18,2021-05-08,33.0,4483.0,47.0,4.2,577.4,1.0
95128,42,36975,2021-05-09,2021-05-29,16.0,3720.0,20.0,2.1,479.1,0.5
95128,34,36975,2020-11-22,2020-12-12,79.0,6312.0,92.0,8.5,812.9,10.2
95128,31,36975,2020-09-20,2020-10-10,41.0,3316.0,44.0,5.3,427.1,1.3
95128,66,36975,2022-09-25,2022-10-15,54.0,1584.0,60.0,7.0,204.0,3.8
95128,53,36975,2021-12-26,2022-01-15,79.0,11289.0,92.0,8.5,427.1,3.0
95128,62,36975,2022-07-03,2022-07-23,327.0,2747.0,377.0,42.1,353.8,13.7
95128,63,36975,2022-07-24,2022-08-13,260.0,2351.0,310.0,33.5,302.8,13.2
95128,46,36975,2021-08-01,2021-08-21,194.0,5080.0,223.0,25.0,654.2,4.4
95128,58,36975,2022-04-10,2022-04-30,152.0,5458.0,188.0,19.6,702.9,3.4
95128,30,36975,2020-08-30,2020-09-19,43.0,2793.0,47.0,5.5,359.7,1.7
95127,55,66256,2022-02-06,2022-02-26,426.0,8969.0,530.0,30.6,644.6,5.9
95127,64,66256,2022-08-14,2022-09-03,293.0,3382.0,342.0,21.1,243.1,10.1
95127,23,66256,2020-04-05,2020-04-25,66.0,434.0,77.0,4.7,31.2,3.0
95127,46,66256,2021-08-01,2021-08-21,407.0,8307.0,479.0,29.3,597.0,5.8
95127,65,66256,2022-09-04,2022-09-24,144.0,2884.0,161.0,10.3,207.3,5.6
95127,35,66256,2020-12-13,2021-01-02,79.0,11316.0,92.0,8.5,813.3,14.4
95127,63,66256,2022-07-24,2022-08-13,79.0,3691.0,92.0,38.2,265.3,3.0
95127,61,66256,2022-06-12,2022-07-02,79.0,4982.0,92.0,8.5,358.1,3.0
95127,51,66256,2021-11-14,2021-12-04,185.0,6586.0,208.0,13.3,473.3,3.2
95127,53,66256,2021-12-26,2022-01-15,79.0,4100.0,92.0,8.5,427.1,3.0
95127,36,66256,2021-01-03,2021-01-23,79.0,12414.0,92.0,8.5,892.2,13.4
95127,66,66256,2022-09-25,2022-10-15,107.0,2438.0,118.0,7.7,175.2,4.8
95127,56,66256,2022-02-27,2022-03-19,123.0,7013.0,159.0,8.8,504.0,2.3
95127,31,66256,2020-09-20,2020-10-10,127.0,3874.0,144.0,9.1,278.4,3.7
95127,22,66256,2020-03-15,2020-04-04,74.0,289.0,76.0,5.3,20.8,3.0
95127,21,66256,2020-02-23,2020-03-14,20.0,31.0,20.0,1.4,2.2,3.0
95127,18,66256,2019-12-22,2020-01-11,20.0,31.0,20.0,0.0,0.1,0.0
95127,58,66256,2022-04-10,2022-04-30,264.0,5666.0,336.0,19.0,407.2,5.9
95127,25,66256,2020-05-17,2020-06-06,41.0,1535.0,52.0,2.9,110.3,3.4
95127,57,66256,2022-03-20,2022-04-09,118.0,6013.0,164.0,8.5,432.2,2.7
95127,34,66256,2020-11-22,2020-12-12,79.0,9858.0,92.0,8.5,708.5,13.7
95127,29,66256,2020-08-09,2020-08-29,262.0,4002.0,293.0,18.8,287.6,7.3
95127,24,66256,2020-04-26,2020-05-16,35.0,986.0,85.0,2.5,70.9,8.6
95127,33,66256,2020-11-01,2020-11-21,79.0,6314.0,537.0,33.9,453.8,8.5
95127,44,66256,2021-06-20,2021-07-10,55.0,3557.0,63.0,4.0,255.6,1.8
95127,59,66256,2022-05-01,2022-05-21,79.0,8247.0,92.0,38.8,592.7,8.0
95127,50,66256,2021-10-24,2021-11-13,129.0,6957.0,147.0,9.3,500.0,2.1
95127,45,66256,2021-07-11,2021-07-31,153.0,4661.0,184.0,11.0,335.0,3.9
95127,47,66256,2021-08-22,2021-09-11,316.0,10613.0,387.0,22.7,762.8,3.6
95127,49,66256,2021-10-03,2021-10-23,141.0,7164.0,164.0,10.1,514.9,2.3
95127,60,66256,2022-05-22,2022-06-11,79.0,7355.0,92.0,8.5,528.6,11.7
95127,67,66256,2022-10-16,2022-11-05,40.0,1276.0,49.0,2.9,91.7,3.8
95127,54,66256,2022-01-16,2022-02-05,79.0,4100.0,92.0,8.5,427.1,3.0
95127,27,66256,2020-06-28,2020-07-18,266.0,4059.0,287.0,19.1,291.7,7.1
95127,62,66256,2022-07-03,2022-07-23,79.0,4474.0,92.0,8.5,321.6,3.0
95127,43,66256,2021-05-30,2021-06-19,13.0,3848.0,16.0,0.9,276.6,0.4
95127,40,66256,2021-03-28,2021-04-17,119.0,6125.0,141.0,8.6,440.2,2.3
95127,52,66256,2021-12-05,2021-12-25,265.0,7271.0,302.0,19.0,522.6,4.2
95127,39,66256,2021-03-07,2021-03-27,100.0,5982.0,134.0,7.2,429.9,2.2
95127,32,66256,2020-10-11,2020-10-31,172.0,4586.0,202.0,12.4,329.6,4.4
95127,28,66256,2020-07-19,2020-08-08,293.0,4204.0,338.0,21.1,302.1,8.0
95127,41,66256,2021-04-18,2021-05-08,77.0,6304.0,97.0,5.5,453.1,1.5
95127,42,66256,2021-05-09,2021-05-29,32.0,5158.0,47.0,2.3,370.7,0.9
95127,38,66256,2021-02-14,2021-03-06,238.0,6684.0,284.0,17.1,480.4,4.2
95127,30,66256,2020-08-30,2020-09-19,203.0,3546.0,233.0,14.6,254.9,6.6
95127,26,66256,2020-06-07,2020-06-27,101.0,2783.0,119.0,7.3,200.0,4.3
95127,48,66256,2021-09-12,2021-10-02,154.0,9047.0,200.0,11.1,650.2,2.2
95127,37,66256,2021-01-24,2021-02-13,79.0,8555.0,92.0,35.9,614.9,7.3
95035,28,79655,2020-07-19,2020-08-08,130.0,3353.0,148.0,7.8,200.4,4.4
95035,34,79655,2020-11-22,2020-12-12,79.0,9670.0,92.0,34.7,578.1,6.6
95035,64,79655,2022-08-14,2022-09-03,291.0,3645.0,336.0,17.4,217.9,9.2
95035,26,79655,2020-06-07,2020-06-27,39.0,2497.0,39.0,2.3,149.3,1.6
95035,54,79655,2022-01-16,2022-02-05,79.0,4100.0,92.0,8.5,1039.2,11.9
95035,49,79655,2021-10-03,2021-10-23,81.0,4100.0,92.0,4.8,932.5,0.6
95035,48,79655,2021-09-12,2021-10-02,105.0,4100.0,113.0,6.3,1143.9,0.6
95035,31,79655,2020-09-20,2020-10-10,63.0,4398.0,77.0,3.8,262.9,1.8
95035,44,79655,2021-06-20,2021-07-10,44.0,5023.0,46.0,2.6,300.3,0.9
95035,25,79655,2020-05-17,2020-06-06,13.0,1511.0,18.0,0.8,90.3,1.2
95035,63,79655,2022-07-24,2022-08-13,79.0,4325.0,92.0,29.7,258.6,14.2
95035,56,79655,2022-02-27,2022-03-19,131.0,7989.0,173.0,7.8,477.6,2.2
95035,39,79655,2021-03-07,2021-03-27,99.0,7334.0,109.0,5.9,438.4,1.5
95035,42,79655,2021-05-09,2021-05-29,12.0,7144.0,18.0,0.7,427.1,0.3
95035,43,79655,2021-05-30,2021-06-19,12.0,5420.0,18.0,0.7,324.0,0.3
95035,41,79655,2021-04-18,2021-05-08,88.0,7797.0,112.0,5.3,466.1,1.4
95035,22,79655,2020-03-15,2020-04-04,36.0,247.0,37.0,2.2,14.8,3.0
95035,21,79655,2020-02-23,2020-03-14,20.0,19.0,37.0,0.3,1.1,3.0
95035,32,79655,2020-10-11,2020-10-31,77.0,5091.0,85.0,4.6,304.3,1.7
95035,24,79655,2020-04-26,2020-05-16,30.0,758.0,27.0,0.6,45.3,3.6
95035,30,79655,2020-08-30,2020-09-19,80.0,3709.0,97.0,4.8,221.7,2.6
95035,23,79655,2020-04-05,2020-04-25,30.0,474.0,43.0,1.8,28.3,9.1
95035,60,79655,2022-05-22,2022-06-11,79.0,8058.0,92.0,8.5,481.7,14.3
95035,36,79655,2021-01-03,2021-01-23,79.0,11352.0,92.0,8.5,678.6,7.5
95035,27,79655,2020-06-28,2020-07-18,86.0,3358.0,98.0,5.1,200.7,2.9
95035,59,79655,2022-05-01,2022-05-21,79.0,8479.0,92.0,8.5,506.9,11.2
95035,53,79655,2021-12-26,2022-01-15,79.0,4100.0,92.0,8.5,427.1,3.0
95035,45,79655,2021-07-11,2021-07-31,156.0,6280.0,176.0,9.3,375.4,2.8
95035,67,79655,2022-10-16,2022-11-05,86.0,1392.0,106.0,5.1,83.2,7.6
95035,40,79655,2021-03-28,2021-04-17,114.0,7992.0,129.0,6.8,477.8,1.6
95035,33,79655,2020-11-01,2020-11-21,169.0,6803.0,190.0,10.1,406.7,2.8
95035,47,79655,2021-08-22,2021-09-11,161.0,4100.0,195.0,9.6,427.1,1.0
95035,29,79655,2020-08-09,2020-08-29,103.0,3428.0,129.0,6.2,204.9,3.8
95035,55,79655,2022-02-06,2022-02-26,422.0,10768.0,520.0,25.2,643.7,4.8
95035,37,79655,2021-01-24,2021-02-13,270.0,8502.0,330.0,16.1,508.3,3.9
95035,50,79655,2021-10-24,2021-11-13,91.0,8324.0,108.0,5.4,497.6,1.3
95035,58,79655,2022-04-10,2022-04-30,319.0,6484.0,380.0,19.1,387.6,5.9
95035,51,79655,2021-11-14,2021-12-04,98.0,9025.0,112.0,5.9,539.5,1.2
95035,61,79655,2022-06-12,2022-07-02,79.0,6326.0,92.0,8.5,378.2,3.0
95035,35,79655,2020-12-13,2021-01-02,79.0,10783.0,92.0,8.5,644.6,8.4
95035,52,79655,2021-12-05,2021-12-25,241.0,9771.0,284.0,14.4,584.1,2.9
95035,57,79655,2022-03-20,2022-04-09,156.0,6385.0,198.0,9.3,381.7,3.1
95035,62,79655,2022-07-03,2022-07-23,79.0,5428.0,92.0,8.5,324.5,3.0
95035,65,79655,2022-09-04,2022-09-24,171.0,3414.0,199.0,10.2,204.1,5.8
95035,38,79655,2021-02-14,2021-03-06,97.0,7315.0,121.0,5.8,437.3,1.7
95035,66,79655,2022-09-25,2022-10-15,146.0,3001.0,180.0,8.7,179.4,6.0
95035,46,79655,2021-08-01,2021-08-21,263.0,9213.0,311.0,15.7,550.8,3.4
94087,23,56668,2020-04-05,2020-04-25,39.0,395.0,42.0,3.3,33.2,10.6
94087,34,56668,2020-11-22,2020-12-12,189.0,6976.0,209.0,15.9,586.2,3.0
94087,32,56668,2020-10-11,2020-10-31,19.0,4371.0,92.0,1.6,367.3,0.5
94087,33,56668,2020-11-01,2020-11-21,47.0,5877.0,66.0,3.9,493.9,1.1
94087,29,56668,2020-08-09,2020-08-29,25.0,3276.0,31.0,2.1,275.3,0.9
94087,24,56668,2020-04-26,2020-05-16,39.0,691.0,35.0,0.4,58.1,5.1
94087,63,56668,2022-07-24,2022-08-13,290.0,3511.0,337.0,24.4,295.0,9.6
94087,51,56668,2021-11-14,2021-12-04,84.0,8396.0,93.0,7.1,705.5,1.1
94087,40,56668,2021-03-28,2021-04-17,39.0,6726.0,48.0,3.3,565.2,0.7
94087,61,56668,2022-06-12,2022-07-02,461.0,5084.0,542.0,38.7,427.2,10.7
94087,28,56668,2020-07-19,2020-08-08,42.0,3238.0,45.0,3.5,272.1,1.4
94087,39,56668,2021-03-07,2021-03-27,52.0,6493.0,61.0,4.4,545.6,0.9
94087,65,56668,2022-09-04,2022-09-24,122.0,3232.0,138.0,10.3,271.6,4.3
94087,58,56668,2022-04-10,2022-04-30,246.0,8209.0,261.0,20.7,689.8,3.2
94087,30,56668,2020-08-30,2020-09-19,24.0,3021.0,24.0,2.0,253.9,0.8
94087,27,56668,2020-06-28,2020-07-18,36.0,3478.0,38.0,3.0,292.3,1.1
94087,25,56668,2020-05-17,2020-06-06,39.0,990.0,15.0,0.3,83.2,0.5
94087,67,56668,2022-10-16,2022-11-05,39.0,1280.0,48.0,3.3,107.6,3.8
94087,22,56668,2020-03-15,2020-04-04,16.0,190.0,17.0,1.3,16.0,8.9
94087,21,56668,2020-02-23,2020-03-14,17.0,11.0,17.0,0.3,0.9,3.0
94087,44,56668,2021-06-20,2021-07-10,20.0,4525.0,26.0,1.7,380.2,0.6
94087,31,56668,2020-09-20,2020-10-10,19.0,4100.0,27.0,1.6,344.5,0.7
94087,66,56668,2022-09-25,2022-10-15,122.0,2897.0,133.0,10.3,243.4,4.6
94087,38,56668,2021-02-14,2021-03-06,59.0,6255.0,69.0,5.0,525.6,1.1
94087,59,56668,2022-05-01,2022-05-21,79.0,12581.0,92.0,8.5,1057.2,4.7
94087,62,56668,2022-07-03,2022-07-23,418.0,4359.0,476.0,35.1,366.3,10.9
94087,26,56668,2020-06-07,2020-06-27,12.0,2126.0,15.0,1.0,178.7,0.7
94087,57,56668,2022-03-20,2022-04-09,114.0,10771.0,126.0,9.6,905.1,1.2
94087,48,56668,2021-09-12,2021-10-02,60.0,9408.0,67.0,5.0,790.6,0.7
94087,47,56668,2021-08-22,2021-09-11,102.0,8940.0,114.0,8.6,751.2,1.3
94087,45,56668,2021-07-11,2021-07-31,77.0,5317.0,87.0,6.5,446.8,1.6
94087,43,56668,2021-05-30,2021-06-19,13.0,4980.0,14.0,1.1,418.5,0.3
94087,36,56668,2021-01-03,2021-01-23,278.0,7909.0,319.0,23.4,664.6,4.0
94087,49,56668,2021-10-03,2021-10-23,46.0,8751.0,51.0,3.9,735.4,0.6
94087,50,56668,2021-10-24,2021-11-13,81.0,9009.0,89.0,6.8,757.0,1.0
94087,42,56668,2021-05-09,2021-05-29,13.0,5425.0,47.0,0.4,455.9,0.2
94087,46,56668,2021-08-01,2021-08-21,126.0,7798.0,154.0,10.6,655.3,2.0
94087,56,56668,2022-02-27,2022-03-19,88.0,11016.0,110.0,7.4,925.7,1.0
94087,52,56668,2021-12-05,2021-12-25,191.0,9336.0,211.0,16.1,784.5,2.3
94087,37,56668,2021-01-24,2021-02-13,105.0,6709.0,136.0,8.8,563.8,2.0
94087,41,56668,2021-04-18,2021-05-08,37.0,6947.0,46.0,3.1,583.8,0.7
94087,55,56668,2022-02-06,2022-02-26,217.0,4100.0,276.0,18.2,1153.4,2.0
94087,54,56668,2022-01-16,2022-02-05,79.0,4100.0,92.0,8.5,427.1,6.2
94087,53,56668,2021-12-26,2022-01-15,79.0,4100.0,92.0,8.5,427.1,11.8
94087,60,56668,2022-05-22,2022-06-11,79.0,10179.0,92.0,8.5,855.4,6.7
94087,35,56668,2020-12-13,2021-01-02,350.0,7249.0,396.0,29.4,609.1,5.5
94087,64,56668,2022-08-14,2022-09-03,164.0,3343.0,189.0,13.8,280.9,5.7
94086,30,50477,2020-08-30,2020-09-19,58.0,2567.0,63.0,5.5,242.2,2.5
94086,31,50477,2020-09-20,2020-10-10,31.0,3116.0,35.0,2.9,294.0,1.1
94086,44,50477,2021-06-20,2021-07-10,19.0,3025.0,21.0,1.8,285.4,0.7
94086,36,50477,2021-01-03,2021-01-23,383.0,6948.0,427.0,36.1,655.5,6.1
94086,26,50477,2020-06-07,2020-06-27,24.0,1587.0,32.0,2.3,149.7,2.0
94086,63,50477,2022-07-24,2022-08-13,258.0,2647.0,307.0,24.3,249.7,11.6
94086,67,50477,2022-10-16,2022-11-05,39.0,984.0,41.0,3.7,92.8,4.2
94086,60,50477,2022-05-22,2022-06-11,465.0,4770.0,523.0,8.5,450.0,11.0
94086,25,50477,2020-05-17,2020-06-06,12.0,899.0,27.0,0.6,84.8,0.8
94086,57,50477,2022-03-20,2022-04-09,65.0,4362.0,76.0,6.1,411.5,1.7
94086,40,50477,2021-03-28,2021-04-17,52.0,5655.0,63.0,4.9,533.5,1.1
94086,32,50477,2020-10-11,2020-10-31,47.0,3675.0,55.0,4.4,346.7,1.5
94086,42,50477,2021-05-09,2021-05-29,20.0,4346.0,27.0,1.9,410.0,0.6
94086,62,50477,2022-07-03,2022-07-23,401.0,3150.0,444.0,37.8,297.2,14.1
94086,24,50477,2020-04-26,2020-05-16,14.0,572.0,27.0,1.3,54.0,4.7
94086,58,50477,2022-04-10,2022-04-30,168.0,4214.0,179.0,15.8,397.5,4.2
94086,51,50477,2021-11-14,2021-12-04,58.0,6659.0,72.0,5.5,628.2,1.1
94086,55,50477,2022-02-06,2022-02-26,177.0,7161.0,255.0,16.7,675.6,3.6
94086,22,50477,2020-03-15,2020-04-04,12.0,155.0,12.0,1.1,14.6,7.7
94086,21,50477,2020-02-23,2020-03-14,12.0,11.0,12.0,0.3,0.8,3.0
94086,19,50477,2020-01-12,2020-02-01,12.0,11.0,12.0,8.5,0.2,3.0
94086,18,50477,2019-12-22,2020-01-11,12.0,11.0,12.0,0.0,0.1,0.0
94086,64,50477,2022-08-14,2022-09-03,179.0,2432.0,196.0,16.9,229.4,8.1
94086,47,50477,2021-08-22,2021-09-11,150.0,6882.0,179.0,14.2,649.2,2.6
94086,45,50477,2021-07-11,2021-07-31,75.0,3834.0,90.0,7.1,361.7,2.3
94086,27,50477,2020-06-28,2020-07-18,74.0,2621.0,84.0,7.0,247.3,3.2
94086,23,50477,2020-04-05,2020-04-25,12.0,320.0,13.0,0.8,30.2,4.1
94086,46,50477,2021-08-01,2021-08-21,104.0,5524.0,114.0,9.8,521.1,2.1
94086,37,50477,2021-01-24,2021-02-13,148.0,5832.0,174.0,14.0,550.2,3.0
94086,52,50477,2021-12-05,2021-12-25,125.0,6997.0,145.0,11.8,660.1,2.1
94086,33,50477,2020-11-01,2020-11-21,104.0,4642.0,125.0,9.8,437.9,2.7
94086,41,50477,2021-04-18,2021-05-08,55.0,5270.0,68.0,5.2,497.2,1.3
94086,39,50477,2021-03-07,2021-03-27,51.0,5728.0,68.0,4.8,540.4,1.2
94086,54,50477,2022-01-16,2022-02-05,79.0,10693.0,92.0,8.5,1008.8,11.1
94086,38,50477,2021-02-14,2021-03-06,75.0,5461.0,88.0,7.1,515.2,1.6
94086,66,50477,2022-09-25,2022-10-15,91.0,2149.0,101.0,8.6,202.7,4.7
94086,50,50477,2021-10-24,2021-11-13,57.0,6403.0,72.0,5.4,604.0,1.1
94086,28,50477,2020-07-19,2020-08-08,66.0,2428.0,78.0,6.2,229.1,3.2
94086,43,50477,2021-05-30,2021-06-19,20.0,3457.0,27.0,0.8,326.1,0.3
94086,56,50477,2022-02-27,2022-03-19,75.0,4949.0,90.0,7.1,466.9,1.8
94086,48,50477,2021-09-12,2021-10-02,48.0,7362.0,66.0,4.5,694.5,0.9
94086,49,50477,2021-10-03,2021-10-23,40.0,6940.0,45.0,3.8,654.7,0.6
94086,65,50477,2022-09-04,2022-09-24,107.0,2348.0,119.0,10.1,221.5,5.1
94086,59,50477,2022-05-01,2022-05-21,388.0,5418.0,444.0,36.6,511.1,8.2
94086,29,50477,2020-08-09,2020-08-29,46.0,2435.0,55.0,4.3,229.7,2.3
94086,53,50477,2021-12-26,2022-01-15,79.0,11252.0,92.0,8.5,1061.5,13.5
94086,35,50477,2020-12-13,2021-01-02,453.0,6030.0,496.0,42.7,568.9,8.2
94086,61,50477,2022-06-12,2022-07-02,424.0,3615.0,477.0,40.0,341.0,13.2
94086,34,50477,2020-11-22,2020-12-12,232.0,5434.0,254.0,21.9,512.6,4.7
94085,46,23223,2021-08-01,2021-08-21,54.0,2747.0,70.0,11.1,563.3,2.5
94085,43,23223,2021-05-30,2021-06-19,12.0,1662.0,11.0,1.6,340.8,0.7
94085,47,23223,2021-08-22,2021-09-11,74.0,3430.0,88.0,15.2,703.3,2.6
94085,24,23223,2020-04-26,2020-05-16,14.0,255.0,12.0,0.8,52.3,2.0
94085,37,23223,2021-01-24,2021-02-13,121.0,3120.0,141.0,24.8,639.8,4.5
94085,34,23223,2020-11-22,2020-12-12,132.0,2691.0,141.0,27.1,551.8,5.2
94085,33,23223,2020-11-01,2020-11-21,60.0,2251.0,65.0,12.3,461.6,2.9
94085,67,23223,2022-10-16,2022-11-05,20.0,409.0,23.0,4.1,83.9,5.6
94085,45,23223,2021-07-11,2021-07-31,46.0,1819.0,51.0,9.4,373.0,2.8
94085,60,23223,2022-05-22,2022-06-11,280.0,2269.0,317.0,8.5,465.3,14.0
